gauge_id,q_mean,runoff_ratio,slope_fdc,baseflow_index,stream_elas,q5,q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,hfd_mean,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990,OBJECTID,Join_Count,TARGET_FID,AREA,PERIMETER,PHYSIODD_,PHYSIODD_I,FCODE,FENCODE,DIVISION,PROVINCE,SECTION,PROVCODE,geometry
01440000,1.79709074453516,0.506237971462614,1.64802817461977,0.589172275759407,0.95312010851275,0.160459879567355,5.21932226447269,3.6,1.63636363636364,56.4,15.887323943662,0,159.85,FLAT BROOK NEAR FLATBROOKVILLE NJ,Ref,NorthEast,167.7204,02,41.106667,-74.952222,NJ,yes,yes,86,60,20,114,1,114,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1739362.7953, 2204340.9436)"
01440400,2.06901143340694,0.551243771791167,1.58784621123023,0.5625869373212,1.14714703934437,0.195491453899225,6.13005344726855,4.45,1.85416666666667,59.85,14.9625,0,156.1,"Brodhead Creek near Analomink, PA",Ref,NorthEast,175.2084,02,41.084815,-75.214625,PA,yes,yes,52,52,20,116,1,116,7.84,23.26,148,165,83,8c,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,SOUTHERN NEW YORK,8,"c(1718558.1248, 2197179.3648)"
01451800,1.75990922716448,0.502370836246927,1.58160098037788,0.477158376006432,1.54839718163361,0.135440577904351,5.9039124251391,10,2,73.35,9.16875,0,153.5,"Jordan Creek near Schnecksville, PA",Ref,EastHghlnds,135.8448,02,40.661762,-75.626854,PA,yes,yes,43,43,20,140,1,140,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1695082.452, 2143506.4684)"
01510000,1.90006102772175,0.548786686711458,1.76252712319227,0.504188789855325,1.32172099343214,0.127761849946411,6.31143538735271,9.2,2.02197802197802,79.1,16.6526315789474,0,164,OTSELIC RIVER AT CINCINNATUS NY,Ref,NorthEast,382.986,02,42.541181,-75.899642,NY,yes,yes,66,55,20,165,1,165,7.84,23.26,148,165,83,8c,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,SOUTHERN NEW YORK,8,"c(1628574.6352, 2344303.8456)"
01516500,1.02918261279843,0.323373524799016,1.62471008061911,0.416854381271141,1.20138366307422,0.0233155229880762,3.57504685817169,15.75,2.14285714285714,122.15,14.121387283237,0,158.45,"Corey Creek near Mainesburg, PA",Ref,NorthEast,31.4838,02,41.790907,-77.014688,PA,yes,yes,55,55,20,172,1,172,2.999,11.795,162,204,84,8d,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,8,"c(1556124.3107, 2243476.8174)"
01518862,1.19837841033994,0.395290298333401,1.74560453254043,0.429466195403569,1.64372105819724,0.0345162639490019,4.2862924140306,16.25,2.32142857142857,120.15,13.8901734104046,0,163.65,"Cowanesque River at Westfield, PA",Ref,NorthEast,233.9109,02,41.923126,-77.53193,PA,yes,yes,26,26,20,177,1,177,7.84,23.26,148,165,83,8c,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,SOUTHERN NEW YORK,8,"c(1511414.7772, 2249635.3406)"
01532000,1.34774802273946,0.421819974940574,1.5690267488535,0.436231935738121,1.67630497305373,0.0388667812413428,4.63751367084204,14.35,2.15789473684211,101.2,13.6756756756757,0,150.8,"Towanda Creek near Monroeton, PA",Ref,NorthEast,553.941,02,41.70702,-76.484665,PA,yes,yes,95,60,20,196,1,196,7.84,23.26,148,165,83,8c,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,SOUTHERN NEW YORK,8,"c(1600877.5328, 2243085.8189)"
01539000,1.7784964377676,0.519507507471259,1.6869765430393,0.518896819455807,1.40648448631555,0.128990987468018,5.50129130336571,6.35,1.92424242424242,67.55,14.0729166666667,0,154.25,"Fishing Creek near Bloomsburg, PA",Ref,EastHghlnds,701.7795,02,41.078141,-76.431056,PA,yes,yes,71,60,20,207,1,207,7.235,22.16,161,191,62,6b,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,6,"c(1619605.8865, 2175084.2697)"
01542810,1.59920512670015,0.467258394194627,1.667859602496,0.386466354314944,1.41962584997273,0.0413151523844511,6.28708840632952,18.55,2.34810126582278,119.45,14.6564417177914,0,157.8,"Waldy Run near Emporium, PA",Ref,NorthEast,13.6242,02,41.578952,-78.292512,PA,yes,yes,45,45,20,215,1,215,14.048,21.081,156,199,85,8e,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,8,"c(1457041.2756, 2199940.7922)"
01543000,1.64794461197671,0.486116606363887,1.7344986483274,0.448967038468495,1.93780367076782,0.0589536276035855,5.96471996930395,11.6,2.20952380952381,96.6,12.1509433962264,0,159.8,"Driftwood Br Sinnemahoning Cr at Sterling Run, PA",Ref,NorthEast,705.4974,02,41.413396,-78.196952,PA,yes,yes,96,60,20,216,1,216,14.048,21.081,156,199,85,8e,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,8,"c(1468263.3415, 2183204.367)"
