site_no,Flashiness,DIVISION,PROVINCE,SECTION,station_nm,DRAIN_SQKM,huc_cd,LAT_GAGE,LNG_GAGE,STATE,alt_va,geometry
01632900,0.30466864357643986,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"SMITH CREEK NEAR NEW MARKET, VA",245.0484,02070006,38.69345,-78.642794,VA,880.84,"c(1487255.3143, 1876748.2988)"
01634500,0.4263230852355053,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"CEDAR CREEK NEAR WINCHESTER, VA",263.9817,02070006,39.081218,-78.329449,VA,646.2,"c(1505762.0206, 1924409.1627)"
02011400,0.3138393254077773,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"JACKSON RIVER NEAR BACOVA, VA",407.7162,02080201,38.042347,-79.881444,VA,1639.07,"c(1394499.545, 1786115.8192)"
02011460,0.43335717884129765,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"BACK CREEK NEAR SUNRISE, VA",156.3408,02080201,38.245401,-79.768663,VA,2199.81,"c(1400293.7246, 1810204.5815)"
02013000,0.440988181021167,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"DUNLAP CREEK NEAR COVINGTON, VA",424.7766,02080201,37.802902,-80.047004,VA,1294.29,"c(1384795.5435, 1757238.7682)"
02014000,0.30387431970120493,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"POTTS CREEK NEAR COVINGTON, VA",396.783,02080201,37.729014,-80.04228,VA,1273.48,"c(1386585.7885, 1749142.8745)"
02015700,0.3572330514340382,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",285.4062,02080201,38.195403,-79.570323,VA,1610.14,"c(1418198.9698, 1807624.2226)"
02016000,0.3772974603240657,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"COWPASTURE RIVER NEAR CLIFTON FORGE, VA",1194.551,02080201,37.791796,-79.759492,VA,1007.02,"c(1409723.4469, 1760239.0566)"
02017500,0.2947079225619268,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"JOHNS CREEK AT NEW CASTLE, VA",276.1497,02080201,37.50624,-80.106715,VA,1254.1,"c(1385195.4212, 1723585.8241)"
02018000,0.3223664939238886,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"CRAIG CREEK AT PARR, VA",852.3431,02080201,37.665962,-79.911439,VA,992.17,"c(1399037.0233, 1744094.0469)"
02027500,0.23174583159288506,APPALACHIAN HIGHLANDS,BLUE RIDGE,NORTHERN,"PINEY RIVER AT PINEY RIVER, VA",123.3423,02080203,37.702363,-79.027525,VA,630.8,"c(1474378.7253, 1761475.2275)"
02028500,0.29404491015040624,APPALACHIAN HIGHLANDS,BLUE RIDGE,NORTHERN,"ROCKFISH RIVER NEAR GREENFIELD, VA",245.4534,02080203,37.869585,-78.823354,VA,527.6,"c(1488553.3541, 1783098.35)"
02053800,0.3103667930206212,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"S F ROANOKE RIVER NEAR SHAWSVILLE, VA",280.7226,03010101,37.140132,-80.266433,VA,1364.19,"c(1378164.5513, 1680803.1555)"
02055100,0.32591269780802057,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"TINKER CREEK NEAR DALEVILLE, VA",30.5352,03010101,37.417633,-79.935319,VA,1216.8,"c(1401662.4185, 1716308.9395)"
02111180,0.3000004225810477,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"ELK CREEK AT ELKVILLE, NC",131.4666,03040101,36.071389,-81.403056,NC,1081.78,"c(1297735.9528, 1546593.5694)"
02137727,0.26631178028643615,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"CATAWBA R NR PLEASANT GARDENS, NC",329.544,03050101,35.685833,-82.060278,NC,1233.81,"c(1246045.3556, 1495111.3009)"
02149000,0.27143973664963783,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"COVE CREEK NEAR LAKE LURE, NC",203.8527,03050105,35.423454,-82.111498,NC,815.28,"c(1245776.8142, 1465382.4184)"
02177000,0.18995211164219716,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"CHATTOOGA RIVER NEAR CLAYTON, GA",526.7736,03060102,34.813981,-83.305993,GA,1165.5,"c(1148383.3082, 1382801.5584)"
02178400,0.20916343968131682,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"TALLULAH RIVER NEAR CLAYTON, GA",151.2753,03060102,34.890371,-83.530441,GA,1868.93,"c(1127077.9158, 1388585.2693)"
